Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,principal component 1,principal component 2,principal component 3,class,CoinName
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000.0,-0.4003325826685588,1.9576740147207448,-0.7728085005657617,0,Droidz
BSC,X11,PoW,15863837.5,21000000.0,-0.22059159428604155,-0.9322487387178487,0.07280190064089463,3,BowsCoin
SQL,X11,PoS/PoW,329200.01639,0.0,-0.3719649163967285,1.0653792495303351,-0.06840275860160873,0,Squall Coin
SONG,Scrypt,PoW,32565300.0,210240000.0,-0.17181197869181014,-1.1518113266937031,-0.03053506645115045,3,Song Coin
ZNY,Scrypt,PoW,75614500.0,250000000.0,-0.17100354627572795,-1.1518172196286351,-0.030554924495315338,3,BitZeny
DIGS,Scrypt,PoS,100000000.0,100000000.0,-0.2944143505144511,0.7803129647287648,-0.27327114500156896,0,Diggits
EXP,Ethash,PoW,10495278.0,16906397.0,-0.15153321724472057,-2.0314112804614743,0.37354960801921144,3,Expanse
CON,X13,PoW/PoS,23042604.0,50000000.0,-0.2692107664969197,1.7824641668136312,-0.6477937256591165,0,Paycon
SC,Blake2b,PoW,33098296530.0,0.0,0.37661669110387197,-2.187250526992853,0.3483684372024728,3,Siacoin
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000.0,-0.29625007570682094,0.8446922167639783,-0.3889424004896463,0,Emercoin
EGC,X15,PoW/PoS,13530556.4180753,26298000.0,-0.25151087803840444,2.0500749623181878,-0.6437266198166889,0,EverGreenCoin
MND,X11,PoW,15867695.0,16000000.0,-0.2206270193808181,-0.932246136884583,0.0728025246362616,3,MindCoin
I0C,SHA-256,PoW,20997476.8650231,21000000.0,-0.1382715645546615,-1.3077199508850885,0.17162604040465798,3,I0coin
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000.0,-0.0736584428858127,1.0325089832512193,-0.31221025334249347,0,Decred
RVR,Scrypt,PoW,210000000.0,210000000.0,-0.16964421021343243,-1.151750257554976,-0.030596389286477316,3,Revolution VR
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.16586199286483752,-2.0000650912574796,0.4714498000590784,3,HOdlcoin
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000.0,-0.30367006744773645,0.8451873466896151,-0.388806465903237,0,EDRCoin
HTC,X11,PoW/PoS,10996318099.0,26550000000.0,-0.06332001506126975,1.2106387608512676,-0.4947511331616187,0,Hitcoin
GAME,Scrypt,PoW,69836100.0,84000000.0,-0.17225187705547917,-1.1517328674863525,-0.030532165527571247,3,Gamecredits
DBIC,SHA-256,PoW/PoS,5129014.0,10500000.0,-0.3037338107021768,0.8451938290988411,-0.3888055322462149,0,DubaiCoin
DIEM,SHA-256,PoW,21739971929.0,21626280000.0,0.2805611509161103,-1.3114969766579458,0.1614140345000688,3,CarpeDiemCoin
PWR,NIST5,PoW/PoS,10069449031.9252,0.0,-0.2297739952459923,1.5547092886642209,-0.6097629407883128,0,PWR Coin
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000.0,-0.33848742729482656,1.0011818500266658,-0.5909442493919864,0,BillaryCoin
GPU,Scrypt,PoS,40477042.0,221052632.0,-0.29428332794419226,0.7802295604288509,-0.2732657028765592,0,GPU Coin
ADZ,X11,PoW,45110324.0,84000000.0,-0.21978705080002894,-0.9322714596970478,0.07278390872846541,3,Adzcoin
SOIL,Dagger,PoW,5702048.0,30000000.0,-0.14375796198172314,-2.1724540954101887,0.43715630338257605,3,SoilCoin
YOC,Scrypt,PoW,636462.55983338,168351300.0,-0.17249954583191054,-1.1518005070561732,-0.030518787345742496,3,YoCoin
SIB,X11GOST,PoW,17263355.0,24000000.0,-0.1489480823284842,-2.181011171357899,0.3301088331018513,3,SibCoin
ERC,X11,PoW/PoS,10407269.7881868,384000000.0,-0.38327675772023395,1.2204743595167795,-0.4876799842959971,0,EuropeCoin
ZEIT,Scrypt,PoS,36971236046.8073,99000000000.0,0.858046789156065,0.7415392437224231,-0.2983893846784618,0,ZeitCoin
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000.0,-0.30353371814875096,0.8451782278301143,-0.38880896168752627,0,SwingCoin
SAFEX,Scrypt,PoC,2147483647.0,2147483647.0,-0.04953465897186577,0.10608191811835652,-0.32540554131393107,0,SafeExchangeCoin
NEBU,PoS,PoS,20000000.0,20000000.0,-0.3511425310286306,1.5443142333766984,-0.11898372395932105,0,Nebuchadnezzar
FRN,Scrypt,PoW,6570807.65677618,20000000.0,-0.17347945853624233,-1.1517213110015507,-0.030502285626206757,3,Francs
BOLI,X11,PoW,13654082.4987998,25000000.0,-0.22059023486692797,-0.9322515781192353,0.07280216446014824,3,BolivarCoin
XRA,X11,PoW/PoS,134554941.15119,75000000.0,-0.3839510058499105,1.2206777125034423,-0.48768426636967366,0,Ratecoin
REV,SHA-256,PoW/PoS,1195525.0,222725000.0,-0.302276284891093,0.8450820994699283,-0.38883071423388477,0,Revenu
CKC,SHA-256,PoW/PoS,16662820.0,525000000.0,-0.29994269279987035,0.8449301983630241,-0.38887386674678,0,Clockcoin
VIP,NIST5,PoW/PoS,83450403.0,90000000.0,-0.3512330093035377,1.551232542533145,-0.6063212673419057,0,VIP Tokens
BSD,X11,PoW/PoS,24387724.5010828,139000000.0,-0.3848439612437702,1.2206065863553057,-0.4876541772857998,0,BitSend
OMNI,Scrypt,PoW,616448.0,616448.0,-0.1736897774012632,-1.1517132747552896,-0.030497802524935,3,Omni
LIR,POS 3.0,PoS,38589808.6658096,33500000.0,-0.35011366531128807,1.4555547456499127,-0.038558959214915645,0,Let it Ride
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000.0,-0.3147649418295491,1.0004396767054005,-0.5914671654369338,0,PutinCoin
IBANK,Scrypt,PoW/PoS,4526324.0,44333333.0,-0.3385255572679776,1.0011791002938402,-0.5909429947522069,0,iBankCoin
FRWC,Scrypt,PoW/PoS,100000000.0,100000000.0,-0.33696328847341467,1.0011829407513904,-0.5909829693588876,0,Frankywillcoin
MUDRA,X13,PoS,5000000.0,200000000.0,-0.2258182653274814,1.5615099783652717,-0.3300944224590678,0,MudraCoin
PIZZA,X11,PoW,1377917.0,25000000.0,-0.22074033395602194,-0.9322557946703883,0.07280640927671607,3,PizzaCoin
LC,X11,PoS,657000000.0,657000000.0,-0.3308852286165139,0.9996844839259437,-0.1702258798544724,0,Lutetium Coin
KMD,Equihash,dPoW/PoW,115898131.0,200000000.0,-0.35333585191382727,-0.8583050324703281,0.9015459232717333,3,Komodo
GB,X11,PoW/PoS,15563873.0,50000000.0,-0.3855832555625264,1.220649844634313,-0.4876399953404626,0,GoldBlocks
CTC,Scrypt,PoW/PoS,43165500.0,90000000.0,-0.33772914108000257,1.00116862056031,-0.5909620666334556,0,CarterCoin
KRB,CryptoNight,PoW,7822432.72439746,10000000.0,0.30672637869647384,-2.3151704898614036,0.373853503924017,3,Karbo
BXT,SHA-256,PoW/PoS,595429.0,21000000.0,-0.30371475051423796,0.8451868108600472,-0.3888052778277899,0,BitTokens
ZYD,SHA-256,PoW,6243840.0,9736000.0,-0.13853186727315622,-1.307719159959627,0.17163255061564858,3,ZayedCoin
MST,X11,PoW/PoS,657636.34549789,3000000.0,-0.38609895143510314,1.2206691694986314,-0.48762896301109077,0,MustangCoin
ZNE,Scrypt,PoW/PoS,2581970.0,21000000.0,-0.3387148678437102,1.0011905681628928,-0.5909394042362716,0,ZoneCoin
COVAL,Multiple,PoW,1000000000.0,1200000000.0,-0.10666242142685856,-1.8102868804805532,0.3915752870031284,3,Circuits of Value
ROOT,Scrypt,PoW/PoS,1939889.0,0.0,-0.33887170197682964,1.0012012697592831,-0.5909365558367343,0,RootCoin
DOPE,Scrypt,PoW,116845228.0,200000000.0,-0.17085414609206293,-1.1517770528373055,-0.030562927843720288,3,DopeCoin
BTCR,Scrypt,PoS,169598616.0,0.0,-0.29427282242952485,0.7803888802524757,-0.27328270402321936,0,BitCurrency
DLC,SHA-256,PoW,9106714.0,10638298.0,-0.1384904619728918,-1.3077186459217873,0.17163144785280024,3,DollarCoin
SCN,Scrypt,PoW/PoW,665200057.0,3100000000.0,-0.2663207849549508,0.32409130003236053,-0.2657054705183061,0,Swiscoin
SH,Scrypt,PoW,11119200.0,30000000.0,-0.17335290141099305,-1.1517249497608903,-0.03050510901440002,3,Shilling
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,0.04050507351011623,1.9536658486526264,-0.7774681342245963,0,BuzzCoin
XPO,PoS,PoS,74033806.7949683,74000000.0,-0.3500987662485347,1.5443047071276257,-0.11900916116623389,0,Opair
PSB,Scrypt,PoW/PoS,33522957.0,0.0,-0.3384855398859017,1.0012121177412372,-0.5909474765375284,0,PesoBit
HALLO,X11,PoW/PoS,264678458.288619,1500000000.0,-0.3722504083416022,1.2199812617587102,-0.4879074789210802,0,Halloween Coin
XZC,Lyra2Z,PoW,7568281.24956067,21400000.0,-0.1476596057143612,-2.1969916310521787,0.4744059638549275,3,ZCoin
CFC,PoS,PoS,148716816.0,39999898.0,-0.3494268388374992,1.5443480423546376,-0.11903073258719277,0,CoffeeCoin
ROYAL,X13,PoS,2500124.0,2500124.0,-0.22724998437582256,1.5616118397351797,-0.3300688575712897,0,RoyalCoin
GNJ,X14,PoW/PoS,100000000.0,100000000.0,-0.39908620805666994,1.9165623231047202,-0.634704348966833,0,GanjaCoin V2
TEAM,PoS,PoS,17818682.1654,301000000.0,-0.34917566071179534,1.5441673355822578,-0.11901811321078191,0,TeamUP
LANA,SHA-256D,PoW/PoS,1082162635.53683,7506000000.0,-0.2742766216696093,1.9538112213747334,-0.7695101986778742,0,LanaCoin
ELE,Ethash,PoW,26205539.0,26205539.0,-0.1512751575972934,-2.0314107208849226,0.3735430127661452,3,Elementrem
ZCL,Equihash,PoW,5613550.0,21000000.0,-0.1709524860300118,-1.9075432366387055,0.49316451326845573,3,ZClassic
ARK,DPoS,DPoS,108202084.0,125000000.0,3.70084762280883,2.0163832113958144,0.03248082290870198,0,ARK
INSANE,X11,PoW/PoS,18342813.0,30000000.0,-0.38569116686199384,1.2206612011628943,-0.4876384549173922,0,InsaneCoin
KLC,Scrypt,PoW,196297971.0,10000000000.0,-0.10035705820698902,-1.1568467591294322,-0.03181604601662486,3,KiloCoin
ATX,X11,PoW,824000000.0,500000000.0,-0.20731237536195532,-0.9322202931611702,0.07246255914687548,3,ArtexCoin
EMB,X13,PoW/PoS,92192822723.0,850000000.0,0.8634127854235509,1.8137060647354386,-0.6797639750753002,0,EmberCoin
XEN,X11,PoW/PoS,3853326.77707314,3853326.77707314,-0.38605382425532964,1.2206698233204798,-0.48763017472960324,0,XenixCoin
FRE,PoS,PoS,50000000.0,50000000.0,-0.3505628913459734,1.5443089345651158,-0.11899784924670867,0,FreeCoin
PLNC,Scrypt,PoW/PoS,17089600.0,38540000.0,-0.33841304823869733,1.001186428582285,-0.5909466142969428,0,PLNCoin
ARCO,Scrypt,PoW/PoS,2449577.41533168,42000000.0,-0.338567503099025,1.0011796005544897,-0.5909419848405999,0,AquariusCoin
